STATION,STATION_NAME,DATE,HPCP
COOP:317069,RALEIGH AIRPORT NC US,19520426 22:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520427 00:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520427 01:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520427 02:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520427 04:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520427 14:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520427 15:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520427 16:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520427 17:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520427 18:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520427 19:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520427 20:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520428 00:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520428 01:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520428 02:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520428 03:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520428 06:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520428 08:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520428 09:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520428 10:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520428 13:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520428 14:00,0.07
COOP:317069,RALEIGH AIRPORT NC US,19520428 15:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520501 01:00,0.00
COOP:317069,RALEIGH AIRPORT NC US,19520505 16:00,0.25
COOP:317069,RALEIGH AIRPORT NC US,19520508 11:00,0.04
COOP:317069,RALEIGH AIRPORT NC US,19520508 12:00,0.23
COOP:317069,RALEIGH AIRPORT NC US,19520509 21:00,0.15
COOP:317069,RALEIGH AIRPORT NC US,19520509 22:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520511 03:00,0.10
COOP:317069,RALEIGH AIRPORT NC US,19520511 04:00,0.09
COOP:317069,RALEIGH AIRPORT NC US,19520511 05:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520511 06:00,0.06
COOP:317069,RALEIGH AIRPORT NC US,19520511 10:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520511 11:00,0.08
COOP:317069,RALEIGH AIRPORT NC US,19520511 12:00,0.05
COOP:317069,RALEIGH AIRPORT NC US,19520511 13:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520511 14:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520511 21:00,0.28
COOP:317069,RALEIGH AIRPORT NC US,19520511 23:00,0.10
COOP:317069,RALEIGH AIRPORT NC US,19520512 00:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520518 22:00,0.04
COOP:317069,RALEIGH AIRPORT NC US,19520518 23:00,0.23
COOP:317069,RALEIGH AIRPORT NC US,19520519 00:00,0.06
COOP:317069,RALEIGH AIRPORT NC US,19520519 01:00,0.04
COOP:317069,RALEIGH AIRPORT NC US,19520519 02:00,0.06
COOP:317069,RALEIGH AIRPORT NC US,19520519 03:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520519 21:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520519 22:00,0.07
COOP:317069,RALEIGH AIRPORT NC US,19520519 23:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520520 03:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520520 12:00,0.24
COOP:317069,RALEIGH AIRPORT NC US,19520520 13:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520524 22:00,0.20
COOP:317069,RALEIGH AIRPORT NC US,19520524 23:00,0.72
COOP:317069,RALEIGH AIRPORT NC US,19520525 00:00,0.14
COOP:317069,RALEIGH AIRPORT NC US,19520525 01:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520525 02:00,0.07
COOP:317069,RALEIGH AIRPORT NC US,19520525 03:00,0.04
COOP:317069,RALEIGH AIRPORT NC US,19520525 04:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520530 00:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520530 05:00,0.04
COOP:317069,RALEIGH AIRPORT NC US,19520530 06:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520530 07:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520601 01:00,0.00
COOP:317069,RALEIGH AIRPORT NC US,19520604 23:00,0.05
COOP:317069,RALEIGH AIRPORT NC US,19520614 22:00,0.05
COOP:317069,RALEIGH AIRPORT NC US,19520614 23:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520615 00:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520615 06:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520615 19:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520615 20:00,0.08
COOP:317069,RALEIGH AIRPORT NC US,19520616 05:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520616 06:00,0.13
COOP:317069,RALEIGH AIRPORT NC US,19520616 07:00,0.49
COOP:317069,RALEIGH AIRPORT NC US,19520616 08:00,0.25
COOP:317069,RALEIGH AIRPORT NC US,19520617 18:00,0.17
COOP:317069,RALEIGH AIRPORT NC US,19520617 19:00,0.08
COOP:317069,RALEIGH AIRPORT NC US,19520617 20:00,0.05
COOP:317069,RALEIGH AIRPORT NC US,19520617 21:00,0.04
COOP:317069,RALEIGH AIRPORT NC US,19520617 22:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520621 22:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520621 23:00,0.08
COOP:317069,RALEIGH AIRPORT NC US,19520622 00:00,0.13
COOP:317069,RALEIGH AIRPORT NC US,19520622 01:00,0.05
